====
Starting job 9714176 at Mon  2 Mar 14:17:29 GMT 2026 for user dc-guan2.
Running on nodes: m8159
====
✅ Using NumPy with CPU.
Using /cosma/home/dp322/dc-guan2/folps/pipeline//config/p0p2b0_LRG2_nowindow.yml
Initialising power spectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
2: pk2_box_phmean
0: pk0_box_phmean
Initialising bispectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
000: bk000_box_phmean
Initialising baccoemu for the linear power spectrum...
Total time: 0.006990309556325277
Loading matrices from matrices_nfftlog128_Afull-True_use_TNS-False.npy
Starting sampling at 2026-03-02 14:17:43.220962 with 72 CPUs. 

Resuming from /cosma/home/dp322/dc-guan2/folps/pipeline/results/LRG/z0.8/p0p2b0_noresc_secondtest_200.state

Iter: 200it [00:00, ?it/s]
Iter: 200it [00:00, ?it/s, beta=0.358, calls=556288, ESS=3.99e+3, logZ=-28.3, logP=-46.9, acc=0.488, steps=10, eff=1]
Iter: 205it [05:30, 76.72s/it, beta=0.427, calls=571648, ESS=4027, logZ=-29.5, logP=-45.5, acc=0.434, steps=15, eff=1]
Iter: 205it [05:35, 76.72s/it, beta=0.427, calls=571904, ESS=4027, logZ=-29.5, logP=-45, acc=0.558, steps=1, eff=1]   
Iter: 205it [05:39, 76.72s/it, beta=0.427, calls=572160, ESS=4027, logZ=-29.5, logP=-45, acc=0.488, steps=2, eff=1]
Iter: 205it [05:44, 76.72s/it, beta=0.427, calls=572416, ESS=4027, logZ=-29.5, logP=-44.7, acc=0.511, steps=3, eff=1]
Iter: 205it [05:49, 76.72s/it, beta=0.427, calls=572672, ESS=4027, logZ=-29.5, logP=-44.3, acc=0.521, steps=4, eff=1]
Iter: 205it [05:53, 76.72s/it, beta=0.427, calls=572928, ESS=4027, logZ=-29.5, logP=-44.3, acc=0.458, steps=5, eff=1]
Iter: 205it [05:58, 76.72s/it, beta=0.427, calls=573184, ESS=4027, logZ=-29.5, logP=-44.4, acc=0.466, steps=6, eff=1]
Iter: 205it [06:02, 76.72s/it, beta=0.427, calls=573440, ESS=4027, logZ=-29.5, logP=-44.2, acc=0.465, steps=7, eff=1]
Iter: 205it [06:07, 76.72s/it, beta=0.427, calls=573696, ESS=4027, logZ=-29.5, logP=-44.6, acc=0.48, steps=8, eff=1] 
Iter: 205it [06:12, 76.72s/it, beta=0.427, calls=573952, ESS=4027, logZ=-29.5, logP=-44.5, acc=0.484, steps=9, eff=1]
Iter: 205it [06:16, 76.72s/it, beta=0.427, calls=574208, ESS=4027, logZ=-29.5, logP=-44.7, acc=0.465, steps=10, eff=1]
Iter: 205it [06:21, 76.72s/it, beta=0.427, calls=574464, ESS=4027, logZ=-29.5, logP=-44.9, acc=0.43, steps=11, eff=1] 
Iter: 205it [06:26, 76.72s/it, beta=0.427, calls=574720, ESS=4027, logZ=-29.5, logP=-44.7, acc=0.452, steps=12, eff=1]
Iter: 205it [06:30, 76.72s/it, beta=0.427, calls=574976, ESS=4027, logZ=-29.5, logP=-45.1, acc=0.463, steps=13, eff=1]
Iter: 205it [06:35, 76.72s/it, beta=0.427, calls=575232, ESS=4027, logZ=-29.5, logP=-45.1, acc=0.418, steps=14, eff=1]
Iter: 205it [06:40, 76.72s/it, beta=0.427, calls=575488, ESS=4027, logZ=-29.5, logP=-45.1, acc=0.467, steps=15, eff=1]
Iter: 206it [06:40, 75.32s/it, beta=0.427, calls=575488, ESS=4027, logZ=-29.5, logP=-45.1, acc=0.467, steps=15, eff=1]
Iter: 206it [06:42, 75.32s/it, beta=0.445, calls=575488, ESS=3973, logZ=-29.8, logP=-45.1, acc=0.467, steps=15, eff=1]
Iter: 206it [06:47, 75.32s/it, beta=0.445, calls=575744, ESS=3973, logZ=-29.8, logP=-44.6, acc=0.547, steps=1, eff=1] 
Iter: 206it [06:51, 75.32s/it, beta=0.445, calls=576000, ESS=3973, logZ=-29.8, logP=-44.6, acc=0.542, steps=2, eff=1]
Iter: 206it [06:56, 75.32s/it, beta=0.445, calls=576256, ESS=3973, logZ=-29.8, logP=-44.7, acc=0.507, steps=3, eff=1]
Iter: 206it [07:01, 75.32s/it, beta=0.445, calls=576512, ESS=3973, logZ=-29.8, logP=-44.8, acc=0.457, steps=4, eff=1]
Iter: 206it [07:05, 75.32s/it, beta=0.445, calls=576768, ESS=3973, logZ=-29.8, logP=-44.5, acc=0.529, steps=5, eff=1]
